Family,Genus,Species (I.e. Genus + specific epithet),Pollination Mode,Resource,Notes
,,Carex divulsa,wind,ecoflora
,,Carex echinata,wind,ecoflora
,,Carex elata,wind,ecoflora
,,Carex elongata,wind,ecoflora
,,Carex ericetorum,wind,ecoflora
,,Carex extensa,wind,ecoflora
,,Carex filiformis,wind,ecoflora
,,Carex flacca,wind,ecoflora
,,Carex flava,wind,ecoflora
,,Carex hirta,wind,ecoflora
,,Carex hostiana,wind,ecoflora
,,Carex humilis,wind,ecoflora
,,Carex lachenalii,wind,ecoflora
,,Carex laevigata,wind,ecoflora
,,Carex lasiocarpa,wind,ecoflora
,,Carex limosa,wind,ecoflora
,,Carex magellanica,wind,ecoflora
,,Carex maritima,wind,ecoflora
,,Carex microglochin,wind,ecoflora
,,Carex montana,wind,ecoflora
,,Carex muricata,wind,ecoflora
,,Carex nigra,wind,ecoflora
,,Carex norvegica,wind,ecoflora
,,Carex ornithopoda,wind,ecoflora
,,Carex otrubae,wind,ecoflora
,,Carex ovalis,wind,ecoflora
,,Carex pallescens,wind,ecoflora
,,Carex panicea,wind,ecoflora
,,Carex paniculata,wind,ecoflora
,,Carex pauciflora,wind,ecoflora
,,Carex pendula,wind,ecoflora
,,Carex pilulifera,wind,ecoflora
,,Carex pseudocyperus,wind,ecoflora
,,Carex pulicaris,wind,ecoflora
,,Carex punctata,wind,ecoflora
,,Carex rariflora,wind,ecoflora
,,Carex recta,wind,ecoflora
,,Carex remota,wind,ecoflora
,,Carex riparia,wind,ecoflora
,,Carex rostrata,wind,ecoflora
,,Carex rupestris,wind,ecoflora
,,Carex saxatilis,wind,ecoflora
,,Carex spicata,wind,ecoflora
,,Carex strigosa,wind,ecoflora
,,Carex sylvatica,wind,ecoflora
,,Carex vaginata,wind,ecoflora
,,Carex vesicaria,wind,ecoflora
,,Carex viridula,wind,ecoflora
,,Carex viridula,wind,ecoflora
,,Carex viridula,wind,ecoflora
,,Carex vulpina,wind,ecoflora
,,Carlina vulgaris,insect,ecoflora
,,Carnegiea gigantea,animal,PPE
