"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
2928,124.171206551546,71.230887338,7.64887079677635,16,1972,50.9667,8.5,"50.9667 8.5","1970-1990",124,6.06180314319666,7.54562483134214,4.39489120611435
2244,120.617420656995,84.2588154490344,7.05967726155875,16,1973,50.9667,8.5,"50.9667 8.5","1970-1990",126,4.67483596108304,5.93968736723764,4.55155545382036
3468,142.64890738464,107.815642310822,9.20903205222661,16,1974,50.9667,8.5,"50.9667 8.5","1970-1990",111,6.99631131903009,5.34281238057883,8.35858676969276
2700,122.11221705575,87.4241497046913,7.88999982364476,16,1975,50.9667,8.5,"50.9667 8.5","1970-1990",126,5.10991791857132,6.0860936139652,4.75510858936721
2388,109.545284095712,80.6185247214427,7.34661273901621,16,1976,50.9667,8.5,"50.9667 8.5","1970-1990",128,4.22295072528182,7.38968733482761,2.85755549168421
2676,128.793688762303,75.1525738693971,6.87629016888358,16,1977,50.9667,8.5,"50.9667 8.5","1970-1990",127,5.94196708030144,5.89156236831332,5.05228249576834
2532,119.704339169518,89.7997730472175,8.09887078671806,16,1978,50.9667,8.5,"50.9667 8.5","1970-1990",128,6.00532773462292,6.37046860760893,1.97695647755071
2028,100.750426227984,60.2475634802198,6.81032242842259,16,1979,50.9667,8.5,"50.9667 8.5","1970-1990",134,4.74122940222198,6.7490623491467,3.78966658196102
2280,113.550919097462,50.5656545577592,6.59612888482309,16,1980,50.9667,8.5,"50.9667 8.5","1970-1990",123,5.16827857300456,5.10687488585245,6.96315201827446
1752,98.3249643991746,80.1799724757354,7.32951596520481,16,1981,50.9667,8.5,"50.9667 8.5","1970-1990",126,7.64409818979682,3.87062491348479,7.0396737556945
2064,111.928090105329,34.0621348303875,6.33822566478123,16,1982,50.9667,8.5,"50.9667 8.5","1970-1990",130,5.24213103037022,7.55953108103131,5.30711099248793
2436,116.878982684994,76.7411007741308,7.14693532412451,16,1983,50.9667,8.5,"50.9667 8.5","1970-1990",116,6.4120490370074,5.81890611993731,4.75478250241798
2352,121.667111664749,53.4604513012,6.31080631055539,16,1984,50.9667,8.5,"50.9667 8.5","1970-1990",122,4.3449179356704,6.01531236554729,4.56554337621302
1848,101.998326759779,56.8070977041386,6.96596758623397,16,1985,50.9667,8.5,"50.9667 8.5","1970-1990",125,5.33524578238731,5.35718738025753,2.6077777194894
2532,121.160636483062,116.501284344864,7.95999982208014,16,1986,50.9667,8.5,"50.9667 8.5","1970-1990",126,4.36590154175876,1.82671870916965,6.63717376469108
1800,100.216090101802,80.7300794078388,7.73435466583337,16,1987,50.9667,8.5,"50.9667 8.5","1970-1990",115,4.3368851489647,7.3459373358055,6.88836941125033
2820,129.272364644936,78.0283007482764,7.57499983068556,16,1988,50.9667,8.5,"50.9667 8.5","1970-1990",121,5.15811463880551,7.87312482402194,6.148444307016
2496,119.590592698004,61.3655731704568,7.08935468025025,16,1989,50.9667,8.5,"50.9667 8.5","1970-1990",119,6.85508181399009,5.29296863169293,5.2983694467896
